TIPO	CODIGO	UD	DESCRIPCION CORTA	PADRE	CRITERIO	DESGLOSE	DESCRIPCION LARGA	PRECIO/UNIDAD
CAPITULO	11		11 SANEAMIENTO					
CAPITULO	11.01		11.01 PEQUEÑA EVACUACIÓN	11				
PARTIDA	11.01.01	ud	Conectores de saneamiento de lavabo 	11.01			Toma de desagüe	2,03
PARTIDA	11.01.02	ud	Conectores de saneamiento de ducha	11.01			Toma de desagüe	2,03
PARTIDA	11.01.03	ud	Sumidero rejilla conector central	11.01			Canaleta de drenaje de acero inoxidable de 70 mm de anchura y 350 mm de longitud, con sifón extraíble y válvula de aireación de ABS de salida horizontal de polipropileno de 40 mm de diámetro y 115 mm de altura, y rejilla y marco de acero inoxidable modelo Classic, para desagüe de ducha de obra.	190,1
PARTIDA	11.01.04	ud	Sumidero rejilla conector doble lateral	11.01			Canaleta de drenaje de acero inoxidable de 70 mm de anchura y 350 mm de longitud, con sifón extraíble y válvula de aireación de ABS de salida horizontal de polipropileno de 40 mm de diámetro y 115 mm de altura, y rejilla y marco de acero inoxidable modelo Classic, para desagüe de ducha de obra.	193,5
PARTIDA	11.01.05	ud	Sumidero rejilla conector lateral	11.01			Canaleta de drenaje de acero inoxidable de 70 mm de anchura y 350 mm de longitud, con sifón extraíble y válvula de aireación de ABS de salida horizontal de polipropileno de 40 mm de diámetro y 115 mm de altura, y rejilla y marco de acero inoxidable modelo Classic, para desagüe de ducha de obra.	190,1
PARTIDA	11.01.06	ud	Sumidero sifónico	11.01			Instalación de sumidero sifónico de PVC, de salida vertical de 75 mm de diámetro, con rejilla de PVC de 200x200 mm, para recogida de aguas pluviales o de locales húmedos. Incluso accesorios de montaje, piezas especiales y elementos de sujeción.	19,61
CAPITULO	11.02		11.02 SANEAMIENTO COLGADO Y BAJANTES	11				
PARTIDA	11.02.01	m	Instalación de tuberías de PVC para saneamiento fecales	11.02			Incluidas uniones de tuberías y accesorios	14,95
PARTIDA	11.02.02	m	Instalación de tuberías de PVC para saneamiento pluviales	11.02			Incluidas uniones de tuberías y accesorios	25,05
CAPITULO	11.03		11.03 SANEAMIENTO ENTERRADO	11				
PARTIDA	11.03.01	ud	Arqueta cuadrada 60-100cm	11.03			Profundidad variable entre 30-140cm. Arqueta de paso enterrada, prefabricada de hormigón, de dimensiones interiores 60x60x60 cm, sobre solera de hormigón en masa HM-20/B/20/I de 20 cm de espesor, con marco y tapa prefabricados de hormigón armado y cierre hermético al paso de los olores mefíticos. El precio no incluye la excavación ni el relleno del trasdós	141,55
PARTIDA	11.03.02	ud	Arqueta cuadrada con sumidero 60x60cm	11.03			Profundidad variable entre 30-133cm. Arqueta sifónica enterrada, prefabricada de hormigón, de dimensiones interiores 60x60x60 cm, sobre solera de hormigón en masa HM-20/B/20/I de 20 cm de espesor, con marco, tapa y placa para sifonar prefabricados de hormigón armado y cierre hermético al paso de los olores mefíticos. El precio no incluye la excavación ni el relleno del trasdós.	150,94
PARTIDA	11.03.03	ud	Arqueta separadora de grasas 120x100x148cm	11.03			Separador de grasas de polietileno de alta densidad (PEAD/HDPE), rectangular, de 250 litros, de 0,75 litros/s de caudal máximo de aguas grises y de 1060x660x510 mm.	367,81
PARTIDA	11.03.04	ud	Pozo de bombeo de arquetas fecales 	11.03			Profundidad 4m. Pozo de bombeo, monobloque, de poliéster reforzado con fibra de vidrio (PRFV), de 2000 mm de diámetro nominal y 4,5 m de altura nominal, sobre solera de 30 cm de espesor de hormigón armado HA-30/B/20/IIb+Qb, encastre del cuerpo del colector 10 cm en dicha solera, ligeramente armada con malla electrosoldada ME 20x20 Ø 8-8 B 500 T 6x2,20 UNE-EN 10080 y losa alrededor de la boca del cono de 200x200 cm y 20 cm de espesor de hormigón en masa HM-30/B/20/I+Qb, con cierre de tapa circular con bloqueo y marco de fundición clase D-400 según UNE-EN 124, instalado en calzadas de calles, incluyendo las peatonales, o zonas de aparcamiento para todo tipo de vehículos. El precio incluye los equipos y la maquinaria necesarios para el desplazamiento y la disposición en obra de los elementos, pero no incluye el equipo de bombeo, la excavación ni el relleno del trasdós.	4.688,98€
PARTIDA	11.03.05	ud	Pozo de fecales	11.03			Profundidad 2,60m. Pozo de resalto, de 1,00 m de diámetro interior y de 2 m de altura útil interior, de fábrica de ladrillo cerámico macizo de 1 pie de espesor recibido con mortero de cemento, industrial, M-5, enfoscado y bruñido por el interior con mortero de cemento, industrial, con aditivo hidrófugo, M-15 y elementos prefabricados de hormigón en masa, sobre solera de 25 cm de espesor de hormigón armado HA-30/B/20/IIb+Qb ligeramente armada con malla electrosoldada, con cierre de tapa circular con bloqueo y marco de fundición clase D-400 según UNE-EN 124, instalado en calzadas de calles, incluyendo las peatonales, o zonas de aparcamiento para todo tipo de vehículos. El precio incluye los equipos y la maquinaria necesarios para el desplazamiento y la disposición en obra de los elementos, pero no incluye la excavación ni el relleno del trasdós.	782,09
PARTIDA	11.03.06	ud	Pozo de pluviales	11.03			Profundidad 2,60m. Pozo de resalto, de 1,00 m de diámetro interior y de 2 m de altura útil interior, de fábrica de ladrillo cerámico macizo de 1 pie de espesor recibido con mortero de cemento, industrial, M-5, enfoscado y bruñido por el interior con mortero de cemento, industrial, con aditivo hidrófugo, M-15 y elementos prefabricados de hormigón en masa, sobre solera de 25 cm de espesor de hormigón armado HA-30/B/20/IIb+Qb ligeramente armada con malla electrosoldada, con cierre de tapa circular con bloqueo y marco de fundición clase D-400 según UNE-EN 124, instalado en calzadas de calles, incluyendo las peatonales, o zonas de aparcamiento para todo tipo de vehículos. El precio incluye los equipos y la maquinaria necesarios para el desplazamiento y la disposición en obra de los elementos, pero no incluye la excavación ni el relleno del trasdós.	782,09
CAPITULO	11.04		11.04 LEGALIZACIÓN Y PUESTA EN MARCHA	11				
CAPITULO	12		12 CLIMATIZACIÓN Y VENTILACIÓN					
CAPITULO	12.01		12.01 EQUIPOS DE PRODUCCIÓN Y CONTROL	12				
PARTIDA	12.01.01	ud	Central de detección de C02	12.01			Central de detección automática de incendios, convencional, microprocesada, de 2 zonas de detección, con caja metálica y tapa de ABS, con módulo de alimentación, rectificador de corriente y cargador de batería, panel de control con indicador de alarma y avería y conmutador de corte de zonas. Incluso baterías.	311,66
PARTIDA	12.01.02	ud	Detector de C02	12.01			Detector de monóxido de carbono, formado por un elemento sensible a las partículas de monóxido de carbono con tecnología por semiconductor, para alimentación de 13 a 28 Vcc, con led de activación e indicador de alarma y base intercambiable, según UNE 23300.	81,63
PARTIDA	12.01.03	ud	Intercambiador	12.01			Intercambiador de placas de acero inoxidable	654,6
PARTIDA	12.01.04	ud	Maquina de enfriamiento ACRC301S	12.01			Bomba de calor reversible, aire-agua, potencia frigorífica nominal de 19,5 kW (temperatura de entrada del aire: 35°C; temperatura de salida del agua: 7°C, salto térmico: 5°C), potencia calorífica nominal de 21,8 kW (temperatura húmeda de entrada del aire: 6°C; temperatura de salida del agua: 45°C), con grupo hidráulico (vaso de expansión de 12 l, presión nominal disponible de 102 kPa) y depósito de inercia de 100 l, caudal de agua nominal de 3,4 m³/h, caudal de aire nominal de 10000 m³/h y potencia sonora de 73,8 dBA; con interruptor de caudal, filtro, termomanómetros, válvula de seguridad tarada a 4 bar y purgador automático de aire, con refrigerante R-410A, para instalación en exterior. Totalmente montada, conexionada y puesta en marcha por la empresa instaladora para la comprobación de su correcto funcionamiento.	6468,99
PARTIDA	12.01.05	ud	BombaWilo: NL 50/160-7,5-2-12 151kg/ud	12.01			Electrobomba centrífuga, de hierro fundido, de tres velocidades, impulsor de tecnopolímero, eje motor de acero cromado, bocas roscadas macho de 1", aislamiento clase H, para alimentación monofásica a 230 V.	320,05
PARTIDA	12.01.06	ud	BombaWilo: NL 50/160-7,5-2-12 179kg/ud	12.01			Electrobomba centrífuga, de hierro fundido, de tres velocidades, impulsor de tecnopolímero, eje motor de acero cromado, bocas roscadas macho de 1", aislamiento clase H, para alimentación monofásica a 230 V.	450,55
PARTIDA	12.01.07	ud	BombaWilo: NL 100/200-5,5-4-12 255kg/ud	12.01			Electrobomba centrífuga, de hierro fundido, de tres velocidades, impulsor de tecnopolímero, eje motor de acero cromado, bocas roscadas macho de 1", aislamiento clase H, para alimentación monofásica a 230 V.	564,41
PARTIDA	12.01.08	ud	BombaWilo Condensacion: D150 NL 80/200-18,5-2-12 297 Kg/ud 2	12.01			Electrobomba centrífuga, de hierro fundido, de tres velocidades, impulsor de tecnopolímero, eje motor de acero cromado, bocas roscadas macho de 1", aislamiento clase H, para alimentación monofásica a 230 V.	346,44
PARTIDA	12.01.09	ud	BombaWilo Condensacion: D200 NL 80/200-18,5-2-12 297 Kg/ud	12.01			Electrobomba centrífuga, de hierro fundido, de tres velocidades, impulsor de tecnopolímero, eje motor de acero cromado, bocas roscadas macho de 1", aislamiento clase H, para alimentación monofásica a 230 V.	385,5
PARTIDA	12.01.10	ud	Compuerta CortaFuegos: 100x100	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	320,3
PARTIDA	12.01.11	ud	Compuerta CortaFuegos: 150x150	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	338,87
PARTIDA	12.01.12	ud	Compuerta CortaFuegos: 200x150	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	345,8
PARTIDA	12.01.13	ud	Compuerta CortaFuegos: 200x200	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	366,49
PARTIDA	12.01.14	ud	Compuerta CortaFuegos: 250x200	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	370,55
PARTIDA	12.01.15	ud	Compuerta CortaFuegos: 250x250	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	374,95
PARTIDA	12.01.16	ud	Compuerta CortaFuegos: 250x300	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	382,1
PARTIDA	12.01.17	ud	Compuerta CortaFuegos: 300x200	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	387,38
